objectid,parentid,filename,title,chef,contributor,subject,ingredients,servings,dimensions,location,format,filesize,filedate,rights
rcp0001,,,Flavorful pot roast,"Girres, Judy",Handwritten by Judy Girres,main dish; beef,"roast, ranch dressing mix, Italian dressing mix, brown gravy mix, water",12-15 servings,5 x 3 in,"West Bend, Iowa",multiple,1.3 MB; 758.7 KB,2025-04-19,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0001A,rcp0001,rcp0001A.jpg,Flavorful pot roast - front,,,,,,,,image/jpg,,,
rcp0001B,rcp0001,rcp0001B.jpg,Flavorful pot roast - back,,,,,,,,image/jpg,,,
rcp0002,,,Crispy baked chicken ,"Girres, Judy",Handwritten by Judy Girres,main dish; chicken,"chicken breasts, egg whites, corn flakes, rosemary, black pepper",,6 x 4 in,"Ankeny, Iowa",multiple,2.6 MB; 993.5 KB,2025-04-27,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0002A,rcp0002,rcp0002A.jpg,Crispy baked chicken - front ,,,,,,,,image/jpg,,,
rcp0002B,rcp0002,rcp0002B.jpg,Crispy baked chicken - back,,,,,,,,image/jpg,,,
rcp0003,,,Pizza loaf,"Girres, Judy",Handwritten by Judy Girres; Handwritten by Jennifer Wirtz,main dish; pork,"frozen bread dough, pork, onion, pizza sauce, salt, pepper, cheddar cheese, mozarella cheese, butter",,,"Ankeny, Iowa",multiple,479.5 KB; 493 KB,2025-04-27,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0003A,rcp0003,rcp0003A.jpg,Pizza loaf - front,,,,,,,,image/jpg,,,
rcp0003B,rcp0003,rcp0003B.jpg,Pizza loaf - back,,,,,,,,image/jpg,,,
rcp0004,,,Tried and true meat loaf,"Girres, Judy",Handwritten by Judy Girres,main dish; beef,"beef, bread crumbs, eggs, milk, onion, salt, pepper, catsup, sugar, dried mustard, nutmeg",4-6 servings,6 x 4 in,"Ankeny, Iowa",multiple,678.5 KB; 354.4 KB,2025-04-27,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0004A,rcp0004,rcp0004A.jpg,Tried and true meat loaf - front,,,,,,,,image/jpg,,,
rcp0004B,rcp0004,rcp0004B.jpg,Tried and true meat loaf - back,,,,,,,,image/jpg,,,
rcp0005A,,rcp0005A.jpg,Chili,"Girres, Judy",Handwritten by Judy Girres,main dish; beef,"hamburger, onion, tomato sauce, tomato juice, chili beans, pepper, chili powder, paprika",,6 x 4 in,"West Bend, Iowa",image/jpg,1.1 MB,2025-04-19,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0006,,,Eggnog french toast,"Girres, Judy",Handwritten by Judy Girres,main dish; breakfast,"bread, eggs, half and half, sugar, vanilla, rum extract, nutmeg, powdered sugar",12 servings,5 x 3 in,"West Bend, Iowa",multiple,617.7 KB; 593.4 KB,2025-04-19,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0006A,rcp0006,rcp0006A.jpg,Eggnog french toast - front,,,,,,,,image/jpg,,,
rcp0006B,rcp0006,rcp0006B.jpg,Eggnog french toast - back,,,,,,,,image/jpg,,,
