objectid,parentid,filename,title,chef,contributor,subject,main ingredients,servings,dimensions,format,filesize,filedate,rights
rcp0001,,,Flavorful pot roast,"Girres, Judith",Handwritten by Judith Girres,main dish; beef,roast; ranch dressing mix; italian dressing mix; brown gravy mix,12-15 servings,5 x 3 in,multiple,1.3 MB,2025-04-19,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0001A,rcp0001,rcp0001A.jpg,Flavorful pot roast - front,,,,,,,,,,
rcp0001B,rcp0001,rcp0001B.jpg,Flavorful pot roast - back,,,,,,,image/jpg,,,
rcp0002A,rcp0002B,rcp0002A.jpg,Crispy baked chicken - front,"Girres, Judith",Handwritten by Judith Girres,main dish; chicken,chicken breasts; egg whites; corn flakes,,6 x 4 in,image/jpg,2.6 MB,2025-04-27,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0002B,,rcp0002B.jpg,Crispy baked chicken - back,,,,,,,image/jpg,,,
rcp0003A,rcp0003B,rcp0003A.jpg,Pizza loaf - front,"Girres, Judith",Handwritten by Judith Girres; Handwritten by Jennifer Wirtz,main dish; pork,pork; onion; pizza sauce; cheddar cheese; mozarella cheese; butter,,5 x 3 in,image/jpg,479.5 KB,2025-04-27,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0003B,,rcp0003B.jpg,Pizza loaf - back,,,,,,,image/jpg,,,
rcp0004A,rcp0004B,rcp0004A.jpg,Tried and true meat loaf - front,"Girres, Judith",Handwritten by Judith Girres,main dish; beef,beef; bread crumbs; eggs; milk; onion; catsup; sugar,4-6 servings,6 x 4 in,image/jpg,678.5 KB,2025-04-27,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0004B,,rcp0004B.jpg,Tried and true meat loaf - back,,,,,,,image/jpg,,,
rcp0005A,,rcp0005A.jpg,Chili,"Girres, Judith",Handwritten by Judith Girres,main dish; beef,hamburger; onion; tomato sauce; tomato juice; chili beans,,6 x 4 in,image/jpg,1.1 MB,2025-04-19,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0006A,rcp0006B,rcp0006A.jpg,Eggnog french toast - front,"Girres, Judith",Handwritten by Judith Girres,main dish; breakfast,bread; eggs; half and half; sugar; vanilla,12 servings,5 x 3 in,image/jpg,617.7 KB,2025-04-19,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
rcp0006B,,rcp0006B.jpg,Eggnog french toast - back,,,,,,,image/jpg,,,
rcp0007A,rcp0007B,rcp0007A.jpg,Sour cream pumpkin coffee cake - front,"Girres, Judith",Handwritten by Judith Girres,dessert;cake,butter; sugar; vanilla; eggs; flour; sour cream; pumpkin; pumpkin pie spice strudel,,6 x 4 in,image/jpg,1.1 MB,2025-04-19,"This material may be used for educational purposes only with attribution. No commercial use allowed. For all other uses, please contact Abby Wirtz."
